Mes;Origen;Clasificación;Mercancia;Pais de Procedencia;Kilos;Valor US$
Mayo;Otro Origen;Embutidos;Embutidos Variados;Italia;2;2
Mayo;Pollo;Embutidos;Salchichas;Estados Unidos;1877.9;9614.84
Mayo;Porcino;Embutidos;Pancetta;España;25285.42;75856.26
Mayo;Porcino;Embutidos;Pancetta;Estados Unidos;5000;12500
Mayo;Porcino;Embutidos;Salami;Estados Unidos;989.66;9567.5
junio;Bovino;Embutidos;Salchichas;Estados Unidos;8478.88;40338.15
Junio;Otro Origen;Embutidos;Embutidos Variados;España;59291.7;650996.02
junio;Otro Origen;Embutidos;Embutidos Variados;Estados Unidos;2053.48;10499.33
junio;Otro Origen;Embutidos;Embutidos Variados;Italia;1;1
junio;Porcino;Embutidos;Chorizo;Estados Unidos;500;3729.68
junio;Porcino;Embutidos;Pepperoni;Estados Unidos;793.65;6117.21
Abril;Pollo;Cárnico;Alas;Estados Unidos;104672.32;237330.15
Abril;Pollo;Cárnico;Carne Molida;Estados Unidos;1326316.93;1788050
Abril;Pollo;Cárnico;Chicharron;Estados Unidos;6274.13;94232.33
Abril;Pollo;Cárnico;Enlatado;Estados Unidos;2811.42;15711.09
Abril;Pollo;Cárnico;Entero;Brasil;52758.99;85167.09
Abril;Pollo;Cárnico;MDM, MSC, Pasta o Pulpa;Brasil;190924.97;113414.2
Abril;Pollo;Cárnico;MDM, MSC, Pasta o Pulpa;Estados Unidos;298119.44;192552.48
Abril;Pollo;Cárnico;Muslos;Estados Unidos;211422.51;327433.4
Abril;Pollo;Cárnico;Nuggets;Estados Unidos;22209.57;67584.37
Abril;Pollo;Cárnico;Pechuga;Brasil;395771.56;930362.45
Abril;Pollo;Cárnico;Pechuga;Estados Unidos;440630.51;1261098.72
Abril;Pollo;Cárnico;Pierna;Estados Unidos;24706.68;30935.23
Abril;Pollo;Cárnico;Trozos;Estados Unidos;3629;24276
Mayo;Pollo;Cárnico;Alas;Estados Unidos;262750.58;508607.59
Mayo;Pollo;Cárnico;Carne Molida;Estados Unidos;477637.38;587062.5
Mayo;Pollo;Cárnico;Chicharron;Estados Unidos;13440;90553.8
