Mes;Origen;Clasificación;Mercancia;Pais de Procedencia;Kilos;Valor US$
Abril;Bovino;Lácteo;Crema Agria;Estados Unidos;13771.71;72025.76
Abril;Bovino;Lácteo;Crema batida;Estados Unidos;35475.17;137867.86
Abril;Bovino;Lácteo;Dulce de leche;Argentina;25090;68256
Abril;Bovino;Lácteo;Dulce de leche;Chile;10800;26076
Abril;Bovino;Lácteo;Dulce de leche;Colombia;32890;101230.4
Abril;Bovino;Lácteo;Dulce de leche;Costa Rica;10560;31933.44
Abril;Bovino;Lácteo;Dulce de leche;Estados Unidos;1578.21;4003.66
Abril;Bovino;Lácteo;Flan;Estados Unidos;1972.78;8509.62
Abril;Bovino;Lácteo;Grasa de leche;Estados Unidos;18779;124125.22
Abril;Bovino;Lácteo;Helados;Belgica;17543.81;146735
Abril;Bovino;Lácteo;Helados;Estados Unidos;61190.52;133765.95
Abril;Bovino;Lácteo;Helados;Guatemala;9184;37724.95
Abril;Bovino;Lácteo;Helados;Mexico;5880.06;56857.77
Abril;Bovino;Lácteo;Salsa de queso;Estados Unidos;111300.74;280886.54
Abril;Bovino;Lácteo;Suero de leche;Estados Unidos;39100;45370.06
Abril;Bovino;Lácteo;Yogurt;España;13684;38261.26
Abril;Bovino;Lácteo;Yogurt;Estados Unidos;43993.38;299573.66
Abril;Bovino;Queso;Americano;Estados Unidos;9385.21;38011.57
Abril;Bovino;Queso;Cheddar;Estados Unidos;72301.81;298875.69
Abril;Bovino;Queso;Cheddar;Guatemala;10800;68132.78
Abril;Bovino;Queso;Cheddar;Polonia;20994.6;81878.94
Abril;Bovino;Queso;Cottage;Estados Unidos;1550.12;9712.5
Abril;Bovino;Queso;Crema;Estados Unidos;32974;134625.66
Abril;Bovino;Queso;Fundido;Estados Unidos;6803.95;12588
Abril;Bovino;Queso;Gouda;Belgica;21343.39;118028.95
Abril;Bovino;Queso;Gouda;Netherlands;42810.25;263687.36
Abril;Bovino;Queso;Mozzarella;Alemania;162957.49;634148.92
Abril;Bovino;Queso;Mozzarella;Belgica;41888;152510.41
Abril;Bovino;Queso;Mozzarella;Estados Unidos;188211.54;698135.97
Abril;Bovino;Queso;Mozzarella;Lituania;24000;72480
Abril;Bovino;Queso;Mozzarella;Nueva Zelanda;24192;124588.8
Abril;Bovino;Queso;Mozzarella;Reino Unido;19200;66539.92
Abril;Bovino;Queso;Palitos de Queso;Estados Unidos;367.35;2514.65
Abril;Bovino;Queso;Parmesano;Estados Unidos;10224.48;116868.8
Abril;Bovino;Queso;Philadelfia;Estados Unidos;44876.08;312530.21
Abril;Bovino;Queso;Queso fresco;Alemania;94104.34;419625.52
Abril;Bovino;Queso;Queso fresco;Estados Unidos;17754.97;94440.3
Abril;Bovino;Queso;Queso fresco;Italia;1;1
Abril;Bovino;Queso;Queso fresco;Polonia;23920;90896
Abril;Bovino;Queso;Queso maduro;España;12284.3;54069.09
Abril;Bovino;Queso;Queso maduro;Estados Unidos;4721.23;46413.23
Abril;Bovino;Queso;Queso maduro;Italia;3;3
Abril;Bovino;Queso;Queso maduro;Netherlands;64352.14;373144.71
Abril;Bovino;Queso;Rallado;España;5824;21700.91
Abril;Bovino;Queso;Rallado;Estados Unidos;165808.76;744954.21
Abril;Caprino;Queso;Queso de cabra;Netherlands;2342.17;22024.13
Mayo;Bovino;Lácteo;Concentrado de Proteina;Estados Unidos;18980;162225.86
Mayo;Bovino;Lácteo;Crema Agria;Estados Unidos;1556.74;9805.55
Mayo;Bovino;Lácteo;Crema batida;Estados Unidos;330;17179.8
Mayo;Bovino;Lácteo;Cuajo;Italia;2200;11592.24
Mayo;Bovino;Lácteo;Dulce de leche;Colombia;35740;110916.01
Mayo;Bovino;Lácteo;Dulce de leche;Costa Rica;10560;36284.11
Mayo;Bovino;Lácteo;Dulce de leche;Estados Unidos;5681.57;14413.43
Mayo;Bovino;Lácteo;Grasa de leche;Estados Unidos;93894.2;581956.32
Mayo;Bovino;Lácteo;Helados;Estados Unidos;70898.39;160630.6
Mayo;Bovino;Lácteo;Salsa de queso;Estados Unidos;46983.96;160918.95
Mayo;Bovino;Lácteo;Suero de leche;Polonia;21264.4;250037.45
Mayo;Bovino;Lácteo;Yogurt;Estados Unidos;38754.46;247810.02
Mayo;Bovino;Queso;Americano;Estados Unidos;9549.6;38704.98
Mayo;Bovino;Queso;Cheddar;Estados Unidos;52682.75;238573.44
Mayo;Bovino;Queso;Cottage;Estados Unidos;857.3;5512.5
Mayo;Bovino;Queso;Crema;Estados Unidos;17829.08;92311.9
Mayo;Bovino;Queso;Havarti;Estados Unidos;544.31;2417.4
Mayo;Bovino;Queso;Monterey;Estados Unidos;20000;43400
Mayo;Bovino;Queso;Mozzarella;Alemania;107668;461395.44
Mayo;Bovino;Queso;Mozzarella;Belgica;64366.45;271275.32
Mayo;Bovino;Queso;Mozzarella;Estados Unidos;126701.92;548234.76
Mayo;Bovino;Queso;Mozzarella;Italia;3500;52473.05
Mayo;Bovino;Queso;Mozzarella;Polonia;21840;97709.62
Mayo;Bovino;Queso;Parmesano;Estados Unidos;1387.85;16686.66
Mayo;Bovino;Queso;Philadelfia;Estados Unidos;26426.9;219911.94
Mayo;Bovino;Queso;Queso maduro;Alemania;5000;16050
Mayo;Bovino;Queso;Queso maduro;Austria;20785.7;109638.61
Mayo;Bovino;Queso;Queso maduro;España;1;1
Mayo;Bovino;Queso;Queso maduro;Estados Unidos;48;48
Mayo;Bovino;Queso;Queso maduro;Italia;2;2
Mayo;Bovino;Queso;Rallado;España;14840;62031.2
Mayo;Bovino;Queso;Rallado;Estados Unidos;234793.43;1069519.53
junio;Bovino;Lácteo;CheeseCake;Estados Unidos;451.7;5802.37
junio;Bovino;Lácteo;Concentrado de Leche;Estados Unidos;3200;37672.2
junio;Bovino;Lácteo;Crema Agria;Estados Unidos;1647.86;15200.49
junio;Bovino;Lácteo;Crema batida;Estados Unidos;63399.6;222554.69
Junio;Bovino;Lácteo;Crema batida;Francia;10662;70197.15
Junio;Bovino;Lácteo;Crema de leche;Brasil;151259.4;422383.98
junio;Bovino;Lácteo;Cuajo;Estados Unidos;680;11399.52
junio;Bovino;Lácteo;Dulce de leche;Argentina;14760;43632
Junio;Bovino;Lácteo;Dulce de leche;Chile;21600;55692
junio;Bovino;Lácteo;Dulce de leche;Colombia;36266;116311.57
junio;Bovino;Lácteo;Dulce de leche;Estados Unidos;14760;43632
Junio;Bovino;Lácteo;Grasa de leche;Estados Unidos;71885.64;440490
Junio;Bovino;Lácteo;Grasa de leche;Netherlands;25000;79500
junio;Bovino;Lácteo;Helados;Costa Rica;10560;31933.44
junio;Bovino;Lácteo;Helados;Estados Unidos;86443.63;187827.64
Junio;Bovino;Lácteo;Helados;Guatemala;6728;39806.21
Junio;Bovino;Lácteo;Helados;Mexico;16869.7;110885.07
Junio;Bovino;Lácteo;Mantequilla;Nueva Zelanda;20772.44;194359.19
Junio;Bovino;Lácteo;Nata de leche;Alemania;43000;57956.16
Junio;Bovino;Lácteo;Nata de leche;Francia;22644;73257.18
Junio;Bovino;Lácteo;Productos Lácteos;España;19365.46;76521.2
Junio;Bovino;Lácteo;Salsa de queso;Estados Unidos;146665.43;356141.32
Junio;Bovino;Lácteo;Salsa de queso;Guatemala;10800;68132.99
Junio;Bovino;Lácteo;Suero de leche;Canada;47668.5;128457.25
Junio;Bovino;Lácteo;Suero de leche;Estados Unidos;20000;16237.21
junio;Bovino;Lácteo;Yogurt;Estados Unidos;75121.54;506538.2
Junio;;Queso;Quesos;Polonia;22607.9;81388.44
junio;Bovino;Queso;Americano;Estados Unidos;5602.88;27288.5
junio;Bovino;Queso;Cheddar;Estados Unidos;219569.92;883139.05
junio;Bovino;Queso;Cottage;Estados Unidos;7606.06;53067.38
junio;Bovino;Queso;Crema;Estados Unidos;23640.6;122175
junio;Bovino;Queso;Fundido;Estados Unidos;4252;7951.24
Junio;Bovino;Queso;Gouda;Netherlands;64409.91;288735.13
junio;Bovino;Queso;Havarti;Estados Unidos;81.64;575.4
junio;Bovino;Queso;Monterey;Estados Unidos;20000;80888.46
Junio;Bovino;Queso;Mozzarella;Alemania;313326.47;1203867.2
Junio;Bovino;Queso;Mozzarella;Belgica;20473.95;99298.68
Junio;Bovino;Queso;Mozzarella;España;20825.43;72472.51
junio;Bovino;Queso;Mozzarella;Estados Unidos;350074.52;1490171.2
Junio;Bovino;Queso;Mozzarella;Francia;57770;278484
Junio;Bovino;Queso;Mozzarella;Lituania;47974.44;149919.47
junio;Bovino;Queso;Palitos de Queso;Estados Unidos;5877.55;41349.02
junio;Bovino;Queso;Parmesano;Estados Unidos;30427.56;185429.63
junio;Bovino;Queso;Philadelfia;Estados Unidos;37066.63;302734.07
Junio;Bovino;Queso;Queso fresco;Alemania;46883.09;194314
Junio;Bovino;Queso;Queso fresco;Dinamarca;24840;98118
junio;Bovino;Queso;Queso fresco;Estados Unidos;18508.85;101260.69
Junio;Bovino;Queso;Queso maduro;Alemania;47059.23;196916.31
junio;Bovino;Queso;Queso maduro;Estados Unidos;7255.35;59967.15
junio;Bovino;Queso;Queso maduro;Italia;1;1
Junio;Bovino;Queso;Queso maduro;Netherlands;39858.36;228877.65
Junio;Bovino;Queso;Quesos;Alemania;64900;227769.76
junio;Bovino;Queso;Rallado;Estados Unidos;295596.14;1298955.31
junio;Otro Origen;Queso;Queso fundido;Estados Unidos;317.06;2589.72
Abril;Bovino;Leche;Formula Infantil;Dinamarca;11088;197383.02
Abril;Bovino;Leche;Formula Infantil;Estados Unidos;12096;54220.32
Abril;Bovino;Leche;Formula Infantil;Mexico;320909.4;1714485.78
Abril;Bovino;Leche;Leche descremada en polvo;Estados Unidos;229425;645032.05
Abril;Bovino;Leche;Leche descremada en polvo;Francia;100000;293393
Abril;Bovino;Leche;Leche entera en polvo;Dinamarca;20160;162579.34
Abril;Bovino;Leche;Leche entera en polvo;Francia;424850;1146600.75
Abril;Bovino;Leche;Leche entera en polvo;Irlanda;350000;904750
Abril;Bovino;Leche;Leche entera en polvo;Netherlands;76000;303021.08
Abril;Bovino;Leche;Leche entera liquida;España;50700;37931.63
Abril;Bovino;Leche;Leche entera liquida;Estados Unidos;102784.02;99742.01
Abril;Bovino;Leche;Leche entera liquida;Polonia;42000;34938
Abril;Bovino;Leche;Leche entera liquida;Puerto Rico;424166;118738.19
Abril;Bovino;Leche;Leche evaporada;Alemania;81600;170490.17
Abril;Bovino;Leche;Leche evaporada;Estados Unidos;7248.27;19050.61
Abril;Bovino;Leche;Leche maternizada;Estados Unidos;21315.27;492684.72
Abril;Bovino;Leche;Leche Modificada;Dinamarca;15876;74392.14
Mayo;Bovino;Leche;Formula Infantil;Dinamarca;60404.4;711485.5
Mayo;Bovino;Leche;Formula Infantil;Mexico;166943.04;982969.35
Mayo;Bovino;Leche;Leche descremada en polvo;Alemania;50000;175151.36
Mayo;Bovino;Leche;Leche descremada en polvo;Lituania;72000;227520
Mayo;Bovino;Leche;Leche entera en polvo;Alemania;69000;218740
Mayo;Bovino;Leche;Leche entera en polvo;Dinamarca;13743;166137.59
Mayo;Bovino;Leche;Leche entera en polvo;Netherlands;204000;876154.5
Mayo;Bovino;Leche;Leche entera liquida;Alemania;68551.2;57126
Mayo;Bovino;Leche;Leche entera liquida;Belgica;133617.6;119740.25
Mayo;Bovino;Leche;Leche entera liquida;España;9751;14494.86
Mayo;Bovino;Leche;Leche entera liquida;Polonia;84000;44251.2
Mayo;Bovino;Leche;Leche evaporada;Alemania;80028.24;149738.6
Mayo;Bovino;Leche;Leche evaporada;Estados Unidos;5637.52;14799.35
Mayo;Bovino;Leche;Leche semidescremada en polvo;Alemania;22291.2;15696
Junio;Bovino;Leche;Formula Infantil;Alemania;17366.4;165092.98
Junio;Bovino;Leche;Formula Infantil;España;13698.89;238337.88
Junio;Bovino;Leche;Formula Infantil;Estados Unidos;46009.08;474481.6
Junio;Bovino;Leche;Formula Infantil;Mexico;389446.3;2216420.31
Junio;Bovino;Leche;Formula Infantil;Nueva Zelanda;100452.6;1175322.75
junio;Bovino;Leche;Leche con Chocolate;Brasil;6864;23689.6
Junio;Bovino;Leche;Leche descremada en polvo;Francia;99500;343772.5
Junio;Bovino;Leche;Leche descremada en polvo;Netherlands;151000;451028.56
Junio;Bovino;Leche;Leche descremada en polvo;Portugal;25000;83250
Junio;Bovino;Leche;Leche descremada liquida;España;145480;138151.8
Junio;Bovino;Leche;Leche descremada liquida;Polonia;105000;85948.45
